company_id,company_name,year,year_numeric,return_on_equity_pct,return_on_capital_employed_pct,net_profit_margin_pct,operating_profit_margin_pct,debt_to_equity,interest_coverage,asset_turnover,free_cash_flow_cr,revenue_cagr_5yr,pat_cagr_5yr,eps_cagr_5yr,composite_quality_score,dividend_payout_ratio_pct,market_cap_crore,pe_ratio,pb_ratio,dividend_yield_pct,sales,net_profit,dividend_payout,broad_sector
NAUKRI,Info Edge (India) Ltd,Mar 2024,2024,1.97,2.0,23.46,28.0,0.0081,28.9714,0.0703,-150.0,17.12,0.1,-2.13,21.09,49.0,563824.44,32.88,8.33,4.29,2536,595,49.0,Communication Services
MOTHERSON,Samvardhana Motherson International Ltd,Mar 2024,2024,11.55,11.96,3.06,9.0,0.7617,5.2247,1.1724,925.0,9.21,7.56,5.92,51.45,20.0,146151.16,9.54,2.38,2.18,98692,3020,20.0,Consumer Discretionary
SHRIRAMFIN,"Shriram Finance Ltd
",Mar 2024,2024,15.12,4.06,20.33,29.0,3.994,0.6767,0.1466,-31359.0,18.56,23.49,14.29,13.55,23.0,868933.47,68.53,7.91,1.86,36388,7399,23.0,Financials
LTIM,LTIMindtree Ltd,Mar 2024,2024,22.9,25.21,12.91,18.0,0.1035,31.9324,1.2895,1752.0,30.33,24.78,12.24,58.17,42.0,1347046.9,64.52,2.38,4.43,35517,4585,42.0,Information Technology
M&M,"Mahindra & Mahindra Ltd
",Mar 2024,2024,18.54,11.54,8.82,18.0,1.6414,3.7647,0.5925,-11245.0,5.84,15.32,16.18,22.45,21.0,4173085.48,14.22,0.81,2.37,139078,12270,21.0,Consumer Discretionary
LT,Larsen & Toubro Ltd,Mar 2024,2024,77.66999999999999,118.53,7.03,14.0,0.1035,3.5442,8.0276,20445.0,10.34,8.76,8.56,93.3,36.0,1124597.5,30.8,2.48,1.26,221113,15547,36.0,Industrials
LODHA,Macrotech Developers Ltd,Mar 2024,2024,8.9,9.78,15.06,26.0,0.4407,5.6286,0.2186,-435.0,-2.83,-1.12,-5.29,25.12,,1209919.99,51.95,7.65,4.05,10316,1554,,Real Estate
PNB,Punjab National Bank,Mar 2024,2024,61.31999999999999,,8.4,,3.6843,,1.507,-29445.0,15.9,,,,18.0,1825925.6,19.29,10.91,1.32,109065,9157,18.0,Financials
POWERGRID,Power Grid Corporation of India Ltd,Mar 2024,2024,17.87,12.69,33.97,87.0,1.4173,4.603,0.1828,24176.0,5.51,9.19,9.1,47.53,67.0,372584.24,64.39,5.1,3.09,45843,15573,67.0,Energy
RELIANCE,"Reliance Industries Ltd
",Mar 2024,2024,9.959999999999999,8.92,8.790000000000001,18.0,0.5785,7.7289,0.5123,45207.0,9.61,14.68,11.95,50.22,10.0,432472.71,58.34,3.25,4.21,899041,79020,10.0,Energy
RECLTD,REC Ltd,Mar 2024,2024,20.4,9.29,29.77,101.0,6.4249,1.6005,0.0867,-59554.0,13.34,19.76,19.67,8.44,30.0,291917.42,31.49,4.59,2.18,47517,14145,30.0,Financials
ULTRACEMCO,,Mar 2024,2024,11.63,13.71,9.879999999999999,18.0,0.1893,13.9835,0.7035,2109.0,11.33,23.89,22.53,51.92,29.0,,,,,70908,7004,29.0,
UNIONBANK,,Mar 2024,2024,14.14,0.27,13.75,5.0,12.8237,0.3536,0.0716,18536.0,23.95,,,29.31,20.0,,,,,100376,13797,20.0,
ADANIENSOL,Adani Energy Solutions Ltd,Mar 2024,2024,9.46,7.92,7.199999999999999,30.0,2.9325,2.2848,0.2837,1095.0,17.85,16.43,14.87,37.82,0.0,348517.36,58.5,9.05,1.65,16607,1196,0.0,Energy
ABB,Abbott India Ltd,Mar 2024,2024,32.47,36.54,20.53,25.0,0.0224,141.75,1.1263,797.0,9.72,21.69,21.66,63.88,73.0,1536236.24,75.58,4.48,0.96,5849,1201,73.0,Industrials
PFC,Power Finance Corporation Ltd,Mar 2024,2024,26.16,3.48,28.92,37.0,8.5219,0.5804,0.0881,-101229.0,11.08,15.92,14.87,8.72,23.0,2011885.81,35.6,6.59,0.42,91508,26461,23.0,Financials
SBILIFE,SBI Life Insurance Company Ltd,Mar 2024,2024,12.7,1.14,1.43,0.0,0.0,240.3333,0.3314,-2099.0,24.23,7.37,7.89,24.09,14.0,886097.71,69.98,9.48,1.62,131988,1894,14.0,Financials
PIDILITIND,Pidilite Industries Ltd,Mar 2024,2024,20.78,26.93,14.11,22.0,0.0454,54.3333,1.0254,955.0,11.84,13.49,13.56,57.97,47.0,162274.18,36.12,12.3,1.01,12383,1747,47.0,Materials
SHREECEM,Shree Cement Ltd,Mar 2024,2024,8.37,11.72,8.450000000000001,22.0,0.08,19.8256,0.7349,1929.0,10.33,11.29,10.68,50.44,16.0,3154358.33,25.87,1.21,3.2,20521,1733,16.0,Materials
NTPC,NTPC Ltd,Mar 2024,2024,13.27,8.86,11.95,29.0,1.4755,4.605,0.3724,8644.0,12.22,8.74,8.45,45.2,36.0,907823.11,30.8,5.24,0.06,178501,21332,36.0,Energy
ONGC,Oil & Natural Gas Corpn Ltd,Mar 2024,2024,16.94,15.11,9.66,17.0,0.4544,11.3613,0.8332,42060.0,7.0,10.97,10.2,53.86,31.0,390111.05,18.15,10.36,1.11,591396,57101,31.0,Energy
NHPC,"NHPC Ltd
",Mar 2024,2024,10.41,5.08,41.82,50.0,0.8413,11.2434,0.1032,970.0,1.4,7.27,5.92,49.39,53.0,1740404.25,71.17,13.74,1.68,9632,4028,53.0,Energy
NESTLEIND,Nestle India Ltd,Mar 2024,2024,117.75,143.15,16.12,24.0,0.1033,41.1862,2.3182,2938.0,14.55,14.85,15.44,100.0,79.0,1677775.19,54.96,14.34,3.85,24394,3933,79.0,Consumer Staples
DABUR,Dabur India Ltd,Mar 2024,2024,18.36,17.82,14.6,19.0,0.1384,23.2419,0.8206,1042.0,7.81,4.6,4.56,54.96,53.0,56521.84,50.95,13.59,3.42,12404,1811,53.0,Consumer Staples
DIVISLAB,Divis Laboratories Ltd,Mar 2024,2024,11.79,13.5,20.4,28.0,0.0002,636.25,0.5074,992.0,9.66,3.41,3.3,51.91,50.0,1615028.67,69.95,12.34,1.39,7845,1600,50.0,Healthcare
DMART,Avenue Supermarts Ltd,Mar 2024,2024,13.56,17.5,4.99,8.0,0.0317,73.2931,2.3989,278.0,20.48,22.97,22.74,53.44,0.0,3053088.97,72.53,11.71,1.94,50789,2536,0.0,Consumer Discretionary
DLF,DLF Ltd,Mar 2024,2024,6.909999999999999,4.46,42.38,33.0,0.1226,7.4579,0.1088,1010.0,-5.14,15.7,12.89,48.19,45.0,1381712.03,46.26,14.32,2.58,6427,2724,45.0,Real Estate
EICHERMOT,Eicher Motors Ltd,Mar 2024,2024,22.17,20.21,24.2,26.0,0.0232,114.7059,0.7154,890.0,11.04,12.68,12.51,56.7,35.0,222391.83,15.62,13.61,4.41,16536,4001,35.0,Consumer Discretionary
GAIL,GAIL (India) Ltd,Mar 2024,2024,12.86,10.77,7.430000000000001,11.0,0.283,23.6245,1.0681,4360.0,11.83,8.61,8.45,51.55,37.0,1531867.57,25.84,9.54,0.31,133228,9903,37.0,Energy
TCS,Tata Consultancy Services Ltd,Mar 2024,2024,50.94,60.21,19.14,27.0,0.0886,87.0951,1.6559,50429.0,10.46,7.87,8.62,75.33,58.0,461188.15,78.69,6.08,1.62,240893,46099,58.0,Information Technology
DRREDDY,Dr Reddys Laboratories Ltd,Mar 2024,2024,19.74,21.36,19.91,28.0,0.0709,51.7076,0.7223,509.0,12.64,23.39,23.84,56.26,12.0,2441803.28,11.73,10.19,0.09,28011,5578,12.0,Healthcare
HCLTECH,HCL Technologies Ltd,Mar 2024,2024,23.01,27.05,14.29,22.0,0.0844,46.4611,1.1102,15840.0,12.71,9.19,9.41,58.67,90.0,412593.29,63.63,5.44,1.99,109913,15710,90.0,Information Technology
TATAPOWER,"Tata Power Company Ltd
",Mar 2024,2024,13.23,8.08,6.97,17.0,1.6593,3.0544,0.4419,3569.0,15.51,10.43,5.92,44.99,17.0,1647269.48,14.5,3.48,0.49,61449,4280,17.0,Energy
HDFCBANK,HDFC Bank Ltd,Mar 2024,2024,14.34,4.8,23.07,-44685.0,6.8088,1.4008,0.0704,35669.0,21.95,23.87,15.42,30.5,23.0,808359.03,49.42,4.4,4.33,283649,65446,23.0,Financials
TATASTEEL,"Tata Steel Ltd
",Mar 2024,2024,-5.33,6.9,-2.14,10.0,0.9462,2.1634,0.8509,6048.0,7.77,,,46.73,-101.0,369110.65,48.97,9.23,1.0,229171,-4910,-101.0,Materials
HAL,Hindustan Aeronautics Ltd,Mar 2024,2024,3816.58,2590.99,25.0,32.0,0.6181,270.8837,67.5133,1814.0,8.71,26.49,26.64,100.0,31.0,2643616.86,71.89,3.65,2.77,30381,7595,31.0,Industrials
HAVELLS,Havells India Ltd,Mar 2024,2024,17.07,19.91,6.84,10.0,0.0407,25.3571,1.4952,335.0,13.04,10.03,9.0,55.1,44.0,2521508.87,45.41,14.08,2.6,18590,1271,44.0,Industrials
GRASIM,Grasim Industries Ltd,Mar 2024,2024,11.2,9.83,7.580000000000001,21.0,1.5471,3.0158,0.3178,-33833.0,11.15,29.31,27.73,19.82,12.0,478951.82,79.35,5.68,0.98,130978,9926,12.0,Industrials
GODREJCP,Godrej Consumer Products Ltd,Mar 2024,2024,-4.45,17.17,-3.98,21.0,0.2558,2.4129,0.7664,-1365.0,6.45,,,24.29,,1327797.2,33.59,8.07,3.09,14096,-561,,Consumer Staples
INDIGO,Interglobe Aviation Ltd,Mar 2024,2024,892.57,4953.54,11.85,16331.0,0.0186,22.6126,56.3863,9424.0,19.31,120.69,121.24,100.0,0.0,1040632.92,76.23,7.87,4.27,68904,8167,0.0,Consumer Discretionary
INDUSINDBK,IndusInd Bank Ltd,Mar 2024,2024,14.25,3.48,19.56,2978.0,6.8857,1.8795,0.0888,-17468.0,15.5,22.08,15.9,5.14,14.0,1807433.12,8.99,3.7,1.42,45748,8950,14.0,Financials
IOC,"Indian Oil Corporation
",Mar 2024,2024,23.53,18.92,5.56,10.0,0.7231,10.2823,1.6084,39635.0,8.01,20.1,20.11,56.79,40.0,1418164.33,28.61,4.24,1.25,776352,43161,40.0,Energy
INFY,Infosys Ltd,Mar 2024,2024,29.79,32.91,17.08,24.0,0.0949,87.5234,1.1298,20117.0,13.2,11.24,12.47,62.16,,1112279.92,35.99,8.97,4.1,153670,26248,,Information Technology
IRFC,Indian Railway Finance Corporation Ltd,Mar 2024,2024,13.04,5.75,24.06,100.0,8.3784,1.3195,0.0549,7906.0,19.07,23.25,20.11,30.35,31.0,2618348.58,9.81,3.91,2.82,26645,6412,31.0,Financials
ITC,"ITC Ltd
",Mar 2024,2024,27.85,32.64,29.28,37.0,0.0041,362.9625,0.7723,18742.0,7.95,10.08,9.86,61.52,84.0,332245.58,47.85,3.24,4.26,70866,20751,84.0,Consumer Staples
TATACONSUM,Tata Consumer Products Ltd,Mar 2024,2024,7.57,9.76,7.99,15.0,0.2165,25.3218,0.5454,26.0,15.96,21.6,14.87,49.71,64.0,350543.35,54.79,7.14,1.87,15206,1215,64.0,Consumer Staples
IRCTC,Indian Railway Catering & Tourism Corporation Ltd,Mar 2024,2024,34.4,42.83,26.02,34.0,0.0186,82.7368,0.701,667.0,17.96,29.17,28.47,66.03,47.0,1258520.29,60.44,5.74,1.08,4270,1111,47.0,Consumer Discretionary
ICICIBANK,ICICI Bank Ltd,Mar 2024,2024,17.99,5.12,28.89,-14152.0,6.4456,1.3009,0.0675,12547.0,17.25,51.95,55.18,31.68,16.0,1319221.86,25.76,6.2,3.43,159516,46081,16.0,Financials
TATAMOTORS,Tata Motors Ltd,Mar 2024,2024,37.46,16.79,7.26,14.0,1.2631,6.5302,1.1851,45133.0,7.72,,,54.44,7.0,1504106.64,67.07,0.93,3.65,437928,31807,7.0,Consumer Discretionary
ICICIPRULI,ICICI Prudential Life Insurance Company Ltd,Mar 2024,2024,7.73,753.98,0.9400000000000001,-1829.0,0.109,31.0215,0.302,105.0,16.85,-5.66,-5.59,72.32,10.0,1596987.55,20.83,12.38,0.35,90307,851,10.0,Financials
BOSCHLTD,Bosch Ltd,Mar 2024,2024,20.64,13.76,14.89,13.0,0.0032,71.7843,0.9638,1536.0,6.72,9.28,9.26,54.63,44.0,2599556.05,58.43,6.47,4.23,16727,2490,44.0,Consumer Discretionary
TECHM,Tech Mahindra Ltd,Mar 2024,2024,8.99,9.21,4.61,9.0,0.0951,13.8597,1.205,5058.0,8.4,-10.99,-11.42,50.0,150.0,3021095.64,57.4,7.43,0.64,51996,2397,150.0,Information Technology
BPCL,Bharat Petroleum Corporation Ltd,Mar 2024,2024,35.51000000000001,28.65,5.99,10.0,0.7219,11.3555,2.2137,25415.0,8.48,25.79,28.06,62.82,33.0,468662.13,68.15,0.72,1.15,448083,26859,33.0,Energy
CANBK,Canara Bank,Mar 2024,2024,16.72,3.09,13.94,-7745.0,14.8674,1.6107,0.072,13296.0,18.18,85.78,53.42,30.79,19.0,496415.88,36.74,12.61,3.81,110519,15401,19.0,Financials
BRITANNIA,Britannia Industries Ltd,Mar 2024,2024,54.15,47.74,12.73,19.0,0.524,20.5976,1.8484,3050.0,8.69,13.06,13.14,73.18,83.0,324745.74,63.91,4.26,1.88,16769,2134,83.0,Consumer Staples
BAJAJHLDNG,Bajaj Holdings & Investment Ltd,Mar 2024,2024,13.58,2.81,432.73,92.0,0.0012,3764.5,0.0261,1469.0,31.61,19.3,18.97,49.78,20.0,2191568.13,37.73,9.38,3.37,1702,7365,20.0,Financials
BAJFINANCE,Bajaj Finance Ltd,Mar 2024,2024,18.84,4.17,26.29,19987.0,3.8248,2689.1667,0.1463,-79931.0,24.35,29.32,27.56,14.69,15.0,2473271.58,69.2,4.11,0.27,54972,14451,15.0,Financials
BEL,Bharat Electronics Ltd,Mar 2024,2024,4744.05,3628.35,19.66,25.0,0.5119,476.75,125.8882,-1265.0,10.75,16.13,10.76,75.0,40.0,1354781.06,17.89,9.22,0.76,20268,3985,40.0,Industrials
BANKBARODA,Bank of Baroda,Mar 2024,2024,15.76,2.71,15.94,4102.0,12.1437,1.8967,0.0715,-7559.0,17.48,74.51,55.18,5.41,21.0,590971.02,16.89,4.15,2.62,118379,18869,21.0,Financials
TORNTPHARM,Torrent Pharmaceuticals Ltd,Mar 2024,2024,24.15,23.53,15.44,31.0,0.5866,9.9266,0.7396,3106.0,6.93,30.59,30.39,58.13,57.0,1870170.39,46.4,6.43,1.22,10728,1656,57.0,Healthcare
BHEL,"Bharat Heavy Electricals Limited
",Mar 2024,2024,1.15,1.39,1.18,3.0,0.3624,1.593,0.3996,-2382.0,-4.73,-22.4,-19.73,20.69,31.0,540053.85,29.8,11.43,4.04,23893,282,31.0,Industrials
TITAN,"Titan Company Ltd
",Mar 2024,2024,37.22,18.89,6.84,10.0,1.6531,9.412,1.6193,1506.0,20.9,20.27,19.51,54.89,28.0,1793769.72,10.13,10.51,3.1,51084,3496,28.0,Consumer Discretionary
BHARTIARTL,Bharti Airtel Ltd,Mar 2024,2024,10.36,13.0,5.71,52.0,2.6095,3.3055,0.3393,27809.0,13.17,38.36,67.03,39.36,62.0,378605.83,63.78,6.28,1.02,149982,8558,62.0,Communication Services
CHOLAFIN,Cholamandalam Investment & Finance Company Ltd,Mar 2024,2024,17.46,3.37,17.85,4548.0,6.8634,21.2118,0.1223,-38538.0,21.94,23.36,22.28,6.08,5.0,971931.96,16.79,10.36,2.83,19163,3420,5.0,Financials
CIPLA,"Cipla Ltd
",Mar 2024,2024,15.55,67.6,16.12,6291.0,0.0209,35.3388,0.7922,1152.0,9.51,22.73,21.83,66.56,25.0,439803.15,59.75,5.93,0.12,25774,4154,25.0,Healthcare
COALINDIA,Coal India Ltd,Mar 2024,2024,45.17,98.17,26.26,47971.0,0.0788,11.2418,0.6019,13617.0,7.4,16.43,16.85,83.09,42.0,454024.84,34.27,14.75,4.38,142324,37369,42.0,Materials
ASIANPAINT,"Asian Paints
Indian Multi-National Paint and Coating Manufacturing Company",Mar 2024,2024,29.68,31.75,15.66,21.0,0.1321,41.0049,1.1871,3556.0,13.03,20.28,20.97,61.84,58.0,2126725.18,73.37,3.9,2.42,35495,5558,58.0,Materials
AXISBANK,Axis Bank Ltd,Mar 2024,2024,15.83,2.52,22.73,11952.0,8.2491,1.6912,0.072,-14556.0,14.74,39.67,35.1,5.38,1.0,948868.63,38.14,4.66,2.32,109369,24861,1.0,Financials
TRENT,Trent Ltd,Mar 2024,2024,36.31,22.33,11.94,16.0,0.4309,8.0435,1.7279,841.0,36.31,73.11,69.52,61.48,8.0,571322.04,8.65,11.82,3.46,12375,1477,8.0,Consumer Discretionary
BAJAJFINSV,Bajaj Finserv Ltd,Mar 2024,2024,25.85,11.45,14.13,37.0,4.7894,2.1971,0.2054,-79634.0,20.97,23.75,20.59,18.62,2.0,1905112.17,15.07,6.08,2.56,110382,15595,2.0,Financials
BAJAJ-AUTO,Bajaj Auto Ltd,Mar 2024,2024,26.61,27.21,17.18,20.0,0.066,174.4167,1.1405,6486.0,8.13,9.36,10.18,59.79,29.0,653817.3,29.91,9.83,3.59,44870,7708,29.0,Consumer Discretionary
ADANIPORTS,"Adani Ports & Special Economic Zone Ltd
",Mar 2024,2024,15.35,11.44,30.34,58.0,0.9373,5.9495,0.2283,8250.0,19.58,10.35,10.56,52.47,16.0,675598.01,48.9,2.31,1.16,26711,8104,16.0,Industrials
ADANIPOWER,Adani Power Ltd,Mar 2024,2024,48.28,18.39,41.37,36.0,0.8023,8.2972,0.5472,17651.0,16.09,,,64.08,0.0,1372183.55,44.57,9.91,1.65,50351,20829,0.0,Energy
AMBUJACEM,Ambuja Cements Ltd,Mar 2024,2024,11.43,11.33,14.29,19.0,0.0169,28.2645,0.5081,-3295.0,4.12,9.77,7.78,26.26,12.0,1281411.04,55.62,9.21,3.1,33160,4738,12.0,Materials
APOLLOHOSP,"Apollo Hospitals
Chain of Indian private hospitals",Mar 2024,2024,13.48,13.91,4.91,13.0,0.7689,5.5657,1.1384,383.0,14.66,36.13,29.95,52.52,26.0,1905622.43,47.72,7.68,3.22,19059,935,26.0,Healthcare
TVSMOTOR,TVS Motor Company Ltd,Mar 2024,2024,26.22,13.8,4.54,14.0,3.8334,2.9077,0.9315,-2254.0,14.19,19.67,19.14,19.32,23.0,266591.41,46.1,5.62,3.07,39145,1779,23.0,Consumer Discretionary
ADANIGREEN,Adani Green Energy Ltd,Mar 2024,2024,12.81,7.25,13.67,79.0,6.5953,1.7139,0.1047,-13347.0,34.98,,,5.66,0.0,510512.78,45.26,6.24,0.89,9220,1260,0.0,Energy
ADANIENT,Adani Enterprises Ltd,Mar 2024,2024,8.53,7.98,3.46,12.0,1.6714,2.7493,0.6004,-8455.0,19.02,45.81,31.95,18.55,5.0,187927.97,58.87,10.41,0.83,96421,3335,5.0,Industrials
